sct_id_1,sct_code_1,sct_id_2,sct_code_2
35688006,1,706912001,1
408678008,1,706912001,1
297107002,1,161920001,1
94117003,1,373088001,1
91812007,1,91808001,1
91809009,1,91808001,1
113342003,1,91808001,1
362606005,1,91808001,1
252382002,1,19851009,1
106100005,1,19787009,1
281904003,1,19787009,1
252041008,1,19787009,1
303409005,1,19787009,1
165232002,1,19787009,1
300470007,1,19787009,1
366279009,1,19787009,1
181420004,1,19787009,1
47252008,1,19787009,1
42112009,1,19787009,1
125682004,1,400032002,1
304575007,1,400032002,1
73897004,1,762720002,1
94392001,1,127232002,1
127254000,1,127232002,1
362426000,1,118976002,1
3058005,1,118976002,1
362292005,1,118976002,1
91715002,1,118976002,1
278199004,1,118976002,1
21483005,1,118976002,1
21589007,1,277984002,1
734065009,1,277984002,1
20529002,1,74368002,1
305335007,1,305056002,1
372292006,1,409792002,1
409793007,1,409792002,1
281347009,1,281344002,1
281346000,1,281344002,1
86075001,1,74848003,1
64779008,1,74848003,1
267272006,1,74848003,1
25904003,1,74848003,1
128153000,1,74848003,1
362970003,1,74848003,1
234466008,1,74848003,1
302065000,1,106176003,1
37057007,1,26112003,1
165232002,1,1156448003,1
1085006,1,413344004,1
5089007,1,413344004,1
279499002,1,413344004,1
45292006,1,413344004,1
86969008,1,413344004,1
63144007,1,413344004,1
310789003,1,413344004,1
125585007,1,413344004,1
285854004,1,363872004,1
91575007,1,312832004,1
392231009,1,312832004,1
233527006,1,312832004,1
312758009,1,896768004,1
129565002,1,71616004,1
106030000,1,71616004,1
128496001,1,71616004,1
363163005,1,71616004,1
127954009,1,71616004,1
310656008,1,38848004,1
59621000,1,51840005,1
51833009,1,51840005,1
38341003,1,51840005,1
406122000,1,69536005,1
301365009,1,69536005,1
230461009,1,69536005,1
128277003,1,69536005,1
302548004,1,69536005,1
70762009,1,69536005,1
128217007,1,69536005,1
699046000,1,69536005,1
298364001,1,69536005,1
118934005,1,69536005,1
432525007,1,69536005,1
363176004,1,69536005,1
25064002,1,69536005,1
123850002,1,69536005,1
398057008,1,69536005,1
312593004,1,55584005,1
59282003,1,55584005,1
414086009,1,55584005,1
37906005,1,55584005,1
54687002,1,55584005,1
277775005,1,118240005,1
118245000,1,118240005,1
112698002,1,1163360005,1
69707008,1,58240005,1
106076001,1,58240005,1
276437003,1,58240005,1
297971001,1,58240005,1
225552003,1,58240005,1
282281003,1,58240005,1
247440002,1,58240005,1
421833007,1,271712005,1
247325003,1,271712005,1
280129003,1,280128006,1
125585007,1,181440006,1
1085006,1,181440006,1
63144007,1,181440006,1
279499002,1,181440006,1
5089007,1,181440006,1
312196000,1,181440006,1
310789003,1,181440006,1
127789004,1,360224006,1
252144003,1,360224006,1
312295005,1,360224006,1
165369002,1,360224006,1
252276003,1,360224006,1
5880005,1,360224006,1
14089001,1,360224006,1
19851009,1,360224006,1
33468001,1,360224006,1
74040009,1,360224006,1
91308007,1,360224006,1
3413006,1,360224006,1
104157003,1,360224006,1
129266000,1,360224006,1
14768001,1,360224006,1
127801007,1,360224006,1
252382002,1,360224006,1
166312007,1,360224006,1
252305002,1,360224006,1
103693007,1,360224006,1
108217004,1,360224006,1
15220000,1,360224006,1
117259009,1,360224006,1
165472008,1,360224006,1
252294009,1,360224006,1
118218001,1,360224006,1
315306007,1,360224006,1
54709006,1,360224006,1
88308000,1,360224006,1
32750006,1,360224006,1
250570001,1,360224006,1
127791007,1,360224006,1
104130000,1,360224006,1
167018008,1,360224006,1
83762000,1,360224006,1
108252007,1,360224006,1
60170009,1,360224006,1
225171007,1,360224006,1
363072000,1,360224006,1
278297009,1,360224006,1
121826005,1,360224006,1
81065003,1,360224006,1
82461003,1,360224006,1
252142004,1,360224006,1
252275004,1,360224006,1
415531008,1,257728006,1
225552003,1,257728006,1
312225001,1,257728006,1
363072000,1,257728006,1
116007004,1,257728006,1
123946008,1,257728006,1
362958002,1,257728006,1
